	product_category	part_number
602	Circular DIN Connectors	929967-7
603	Circular DIN Connectors	929975-8
604	Circular DIN Connectors	929975-4
605	Circular DIN Connectors	929971-7
606	Circular DIN Connectors	929975-7
607	Circular DIN Connectors	929975-1
608	Circular DIN Connectors	962982-1
609	Circular DIN Connectors	962982-7
610	Circular DIN Connectors	828921-1
611	Circular DIN Connectors	962982-4
612	Circular DIN Connectors	929967-1
613	Circular DIN Connectors	962982-8
614	Circular DIN Connectors	1-926971-0
615	Circular DIN Connectors	962981-8
616	Circular DIN Connectors	1-929974-4
617	Circular DIN Connectors	828986-1
618	Circular DIN Connectors	929971-1
619	Circular DIN Connectors	962981-4
620	Circular DIN Connectors	962981-7
621	Circular DIN Connectors	1-962981-4
622	Circular DIN Connectors	962978-1
623	Circular DIN Connectors	962978-7
624	Circular DIN Connectors	962978-8
625	Circular DIN Connectors	962968-1
626	Circular DIN Connectors	1-926971-4
627	Circular DIN Connectors	828920-1
628	Circular DIN Connectors	962971-8
629	Circular DIN Connectors	962971-4
630	Circular DIN Connectors	962971-7
631	Circular DIN Connectors	962971-1
632	Circular DIN Connectors	828922-1
633	Circular DIN Connectors	828922-2
634	Circular DIN Connectors	929967-8
635	Circular DIN Connectors	929974-1
636	Circular DIN Connectors	929974-4
637	Circular DIN Connectors	929974-7
638	Circular DIN Connectors	58606-1
639	Circular DIN Connectors	929974-8
640	Circular DIN Connectors	1-929964-0
641	Circular DIN Connectors	929964-1
642	Circular DIN Connectors	1-929967-4
643	Circular DIN Connectors	1-929967-0
644	Circular DIN Connectors	1-962968-0
645	Circular DIN Connectors	734285-2
646	Circular DIN Connectors	962981-1
647	Circular DIN Connectors	929973-1
648	Circular DIN Connectors	929966-1
649	Circular DIN Connectors	929972-1
650	Circular DIN Connectors	929970-8
651	Circular DIN Connectors	929966-7
652	Circular DIN Connectors	2151732-1
653	Circular DIN Connectors	929970-7
654	Circular DIN Connectors	929971-7
655	Circular DIN Connectors	929970-1
656	Circular DIN Connectors	929971-8
657	Circular DIN Connectors	2151732-2
658	Circular DIN Connectors	1528689-1
659	Circular DIN Connectors	929971-1
660	Circular DIN Connectors	1528689-2
661	Circular DIN Connectors	1528689-6
662	Circular DIN Connectors	929963-8
663	Circular DIN Connectors	929963-1
664	Circular DIN Connectors	2266503-1
665	Circular DIN Connectors	2266503-2
666	Circular DIN Connectors	1426425-1
667	Circular DIN Connectors	1426425-2
668	Circular DIN Connectors	1426425-6
669	Circular DIN Connectors	929965-1
670	Circular DIN Connectors	1-929964-0
671	Circular DIN Connectors	929964-1
672	Circular DIN Connectors	1-929963-0
673	Circular DIN Connectors	1426121-1
674	Circular DIN Connectors	1426121-2
